Age,Department,JobRole,MonthlyIncome,YearsAtCompany,OverTime,JobSatisfaction,Attrition_Probability,Risk_Level
56,Research & Development,Laboratory Technician,2587,4,No,4,0.725,HIGH
49,Sales,Sales Executive,7654,9,No,4,0.725,HIGH
41,Research & Development,Laboratory Technician,2778,7,Yes,4,0.72,HIGH
28,Research & Development,Laboratory Technician,2367,4,No,4,0.72,HIGH
32,Sales,Sales Executive,6735,0,No,2,0.72,HIGH
35,Research & Development,Laboratory Technician,3743,4,Yes,2,0.72,HIGH
33,Research & Development,Laboratory Technician,2436,5,Yes,4,0.715,HIGH
35,Sales,Sales Executive,4614,4,Yes,3,0.715,HIGH
31,Sales,Sales Executive,6172,7,Yes,3,0.715,HIGH
23,Research & Development,Laboratory Technician,3989,5,Yes,3,0.715,HIGH
44,Research & Development,Laboratory Technician,3161,1,Yes,3,0.715,HIGH
29,Research & Development,Laboratory Technician,3339,7,Yes,3,0.715,HIGH
40,Research & Development,Laboratory Technician,2018,5,No,1,0.715,HIGH
26,Human Resources,Human Resources,2741,7,Yes,3,0.715,HIGH
31,Sales,Sales Executive,5617,10,Yes,4,0.71,HIGH
30,Human Resources,Human Resources,2180,4,No,4,0.71,HIGH
20,Sales,Sales Representative,2044,2,No,3,0.71,HIGH
41,Sales,Sales Executive,9355,8,No,2,0.71,HIGH
25,Research & Development,Laboratory Technician,3691,7,Yes,4,0.71,HIGH
29,Research & Development,Research Scientist,2546,2,No,2,0.705,HIGH
35,Sales,Sales Executive,5813,10,Yes,4,0.705,HIGH
26,Research & Development,Research Scientist,2366,8,Yes,3,0.705,HIGH
22,Research & Development,Manufacturing Director,4171,3,Yes,3,0.705,HIGH
31,Sales,Sales Executive,4233,3,No,1,0.7,HIGH
28,Research & Development,Research Scientist,3464,3,Yes,4,0.7,HIGH
33,Research & Development,Laboratory Technician,2707,9,No,1,0.7,HIGH
46,Sales,Sales Executive,10096,7,No,4,0.7,HIGH
38,Research & Development,Healthcare Representative,6673,1,Yes,1,0.7,HIGH
35,Sales,Sales Executive,5440,2,Yes,4,0.7,HIGH
39,Sales,Sales Executive,5238,1,Yes,3,0.695,HIGH
30,Research & Development,Research Scientist,2657,5,Yes,1,0.695,HIGH
34,Sales,Sales Representative,2351,2,No,3,0.695,HIGH
31,Research & Development,Laboratory Technician,3722,2,Yes,4,0.695,HIGH
31,Research & Development,Research Scientist,4084,7,No,3,0.695,HIGH
42,Sales,Sales Executive,13758,21,Yes,1,0.695,HIGH
37,Sales,Sales Executive,10609,14,No,3,0.695,HIGH
28,Sales,Sales Representative,2909,3,No,3,0.69,HIGH
31,Research & Development,Laboratory Technician,2610,2,No,3,0.69,HIGH
47,Research & Development,Manager,11849,10,Yes,2,0.69,HIGH
28,Research & Development,Laboratory Technician,2596,1,No,2,0.69,HIGH
25,Research & Development,Laboratory Technician,4031,2,No,1,0.69,HIGH
34,Sales,Sales Executive,5304,5,Yes,4,0.69,HIGH
46,Research & Development,Healthcare Representative,8926,9,No,2,0.69,HIGH
58,Research & Development,Research Director,19246,31,Yes,2,0.685,HIGH
35,Sales,Sales Executive,10306,13,No,1,0.685,HIGH
48,Research & Development,Laboratory Technician,5381,1,Yes,3,0.685,HIGH
56,Research & Development,Laboratory Technician,2339,10,No,3,0.685,HIGH
43,Research & Development,Research Scientist,2437,1,Yes,3,0.685,HIGH
44,Research & Development,Research Scientist,2342,5,Yes,2,0.68,HIGH
52,Sales,Manager,19845,32,No,4,0.68,HIGH
34,Sales,Sales Executive,4599,15,Yes,2,0.68,HIGH
36,Sales,Sales Executive,10325,16,Yes,4,0.68,HIGH
36,Research & Development,Laboratory Technician,4834,1,No,3,0.68,HIGH
33,Research & Development,Research Scientist,4508,13,No,3,0.68,HIGH
46,Sales,Sales Executive,9619,9,No,4,0.675,HIGH
28,Research & Development,Research Scientist,4382,2,No,3,0.675,HIGH
29,Research & Development,Healthcare Representative,7553,8,Yes,4,0.675,HIGH
31,Research & Development,Laboratory Technician,3479,5,No,2,0.675,HIGH
36,Sales,Sales Representative,3407,5,No,1,0.67,HIGH
24,Sales,Sales Representative,2033,1,No,2,0.67,HIGH
29,Sales,Sales Executive,7336,11,No,1,0.67,HIGH
39,Research & Development,Healthcare Representative,12169,18,No,4,0.67,HIGH
34,Human Resources,Human Resources,9950,3,Yes,1,0.67,HIGH
49,Research & Development,Laboratory Technician,4284,4,No,1,0.665,HIGH
50,Sales,Sales Executive,6796,4,Yes,3,0.665,HIGH
55,Sales,Sales Executive,5160,9,No,4,0.665,HIGH
45,Sales,Sales Executive,4286,1,No,1,0.665,HIGH
27,Sales,Sales Representative,3041,4,No,1,0.66,HIGH
34,Research & Development,Laboratory Technician,5346,7,No,1,0.66,HIGH
37,Research & Development,Manufacturing Director,4213,10,No,1,0.66,HIGH
18,Sales,Sales Representative,1200,0,No,3,0.66,HIGH
36,Research & Development,Laboratory Technician,2743,17,No,1,0.66,HIGH
38,Research & Development,Manufacturing Director,4855,5,No,2,0.655,HIGH
46,Sales,Sales Executive,7314,8,No,2,0.655,HIGH
39,Research & Development,Research Scientist,3904,5,No,1,0.655,HIGH
34,Research & Development,Laboratory Technician,6074,9,Yes,3,0.655,HIGH
32,Research & Development,Laboratory Technician,4883,10,No,3,0.655,HIGH
41,Sales,Sales Executive,5993,6,Yes,4,0.65,HIGH
50,Sales,Sales Executive,6728,6,No,3,0.645,HIGH
55,Research & Development,Manager,19859,5,Yes,1,0.645,HIGH
52,Research & Development,Research Scientist,4941,8,No,2,0.645,HIGH
40,Sales,Sales Executive,6380,6,Yes,3,0.645,HIGH
29,Research & Development,Research Scientist,2404,0,Yes,1,0.64,HIGH
33,Research & Development,Manager,13610,7,Yes,3,0.64,HIGH
58,Research & Development,Manufacturing Director,10008,10,Yes,1,0.64,HIGH
29,Sales,Sales Executive,7639,10,No,4,0.635,HIGH
44,Research & Development,Healthcare Representative,7978,10,No,4,0.635,HIGH
33,Research & Development,Laboratory Technician,3408,4,No,4,0.635,HIGH
45,Sales,Manager,18824,24,Yes,2,0.635,HIGH
30,Sales,Sales Executive,9714,10,No,1,0.63,HIGH
22,Research & Development,Laboratory Technician,2871,0,No,4,0.58,MEDIUM
31,Research & Development,Laboratory Technician,1129,1,Yes,4,0.51,MEDIUM
21,Sales,Sales Representative,2174,3,Yes,2,0.505,MEDIUM
22,Research & Development,Laboratory Technician,2935,1,Yes,4,0.495,MEDIUM
28,Sales,Sales Representative,1052,1,No,2,0.48,MEDIUM
24,Research & Development,Laboratory Technician,2127,1,No,2,0.465,MEDIUM
26,Research & Development,Research Scientist,2042,3,Yes,1,0.445,MEDIUM
27,Research & Development,Laboratory Technician,2341,1,No,1,0.445,MEDIUM
40,Sales,Sales Executive,9094,5,Yes,2,0.43,MEDIUM
27,Research & Development,Research Scientist,2318,1,No,3,0.42,MEDIUM
33,Research & Development,Research Scientist,3348,10,Yes,1,0.4,MEDIUM
18,Research & Development,Research Scientist,1514,0,No,3,0.395,MEDIUM
26,Research & Development,Research Scientist,2061,1,No,4,0.39,MEDIUM
34,Research & Development,Laboratory Technician,2008,1,No,2,0.38,MEDIUM
29,Research & Development,Research Scientist,2109,1,No,1,0.37,MEDIUM
31,Research & Development,Research Scientist,2321,3,Yes,1,0.365,MEDIUM
27,Research & Development,Research Scientist,2478,4,Yes,2,0.355,MEDIUM
28,Research & Development,Laboratory Technician,3867,2,Yes,4,0.355,MEDIUM
26,Research & Development,Research Scientist,2933,1,Yes,3,0.355,MEDIUM
41,Sales,Sales Representative,3140,4,Yes,2,0.355,MEDIUM
21,Research & Development,Research Scientist,2693,1,No,4,0.35,MEDIUM
37,Research & Development,Laboratory Technician,2090,0,Yes,3,0.345,MEDIUM
33,Human Resources,Human Resources,2277,4,Yes,2,0.34,MEDIUM
38,Sales,Sales Representative,2858,1,No,1,0.34,MEDIUM
22,Research & Development,Research Scientist,2853,0,Yes,4,0.33,MEDIUM
37,Research & Development,Healthcare Representative,4777,1,No,2,0.33,MEDIUM
31,Sales,Sales Representative,2789,2,No,2,0.325,MEDIUM
31,Sales,Sales Executive,4559,2,Yes,3,0.32,MEDIUM
33,Sales,Sales Executive,8224,5,Yes,1,0.32,MEDIUM
48,Research & Development,Laboratory Technician,2559,1,No,2,0.3,LOW
26,Sales,Sales Executive,5828,8,Yes,4,0.3,LOW
33,Research & Development,Research Scientist,2909,8,Yes,3,0.295,LOW
32,Sales,Sales Representative,2827,1,No,1,0.295,LOW
29,Research & Development,Research Scientist,2389,4,Yes,4,0.28,LOW
25,Research & Development,Research Scientist,2096,2,No,2,0.28,LOW
24,Research & Development,Research Scientist,3760,6,Yes,4,0.28,LOW
40,Sales,Sales Executive,9705,1,No,2,0.28,LOW
29,Sales,Sales Representative,2800,3,Yes,3,0.28,LOW
35,Sales,Sales Executive,4581,11,Yes,4,0.265,LOW
30,Research & Development,Manufacturing Director,6877,0,Yes,4,0.26,LOW
38,Research & Development,Research Scientist,3057,1,Yes,3,0.26,LOW
18,Research & Development,Laboratory Technician,1611,0,No,4,0.255,LOW
19,Research & Development,Laboratory Technician,1483,1,No,2,0.255,LOW
50,Research & Development,Laboratory Technician,2380,1,No,4,0.255,LOW
24,Sales,Sales Executive,4577,2,No,3,0.255,LOW
29,Sales,Sales Representative,2157,3,No,4,0.25,LOW
41,Research & Development,Research Scientist,2127,4,Yes,3,0.245,LOW
24,Research & Development,Laboratory Technician,3597,4,No,2,0.245,LOW
21,Sales,Sales Representative,3447,3,No,3,0.245,LOW
38,Sales,Sales Executive,6861,1,Yes,4,0.24,LOW
41,Research & Development,Research Scientist,2107,1,No,1,0.24,LOW
26,Human Resources,Human Resources,2148,5,Yes,2,0.235,LOW
36,Research & Development,Research Scientist,3388,1,Yes,3,0.23,LOW
29,Research & Development,Healthcare Representative,6294,3,Yes,3,0.23,LOW
31,Human Resources,Human Resources,6410,2,No,1,0.215,LOW
24,Research & Development,Research Scientist,2725,6,Yes,4,0.215,LOW
31,Sales,Sales Executive,5332,5,No,1,0.215,LOW
29,Research & Development,Research Scientist,4787,2,Yes,4,0.21,LOW
47,Sales,Sales Representative,3294,3,Yes,4,0.21,LOW
31,Sales,Sales Executive,9852,10,Yes,3,0.21,LOW
51,Sales,Sales Executive,10596,4,No,2,0.21,LOW
38,Research & Development,Laboratory Technician,2288,2,No,4,0.21,LOW
31,Human Resources,Human Resources,2109,3,No,2,0.21,LOW
24,Research & Development,Laboratory Technician,2694,1,No,2,0.205,LOW
25,Sales,Sales Representative,4400,3,No,1,0.205,LOW
42,Research & Development,Research Scientist,2759,2,Yes,3,0.2,LOW
33,Sales,Sales Executive,5147,11,No,2,0.2,LOW
34,Sales,Sales Representative,2220,1,Yes,3,0.2,LOW
31,Research & Development,Research Scientist,3929,4,Yes,4,0.2,LOW
19,Research & Development,Research Scientist,2994,1,Yes,4,0.2,LOW
30,Research & Development,Laboratory Technician,2422,3,No,2,0.195,LOW
52,Sales,Sales Representative,3482,9,No,4,0.195,LOW
19,Research & Development,Research Scientist,2552,1,No,1,0.19,LOW
25,Sales,Sales Executive,4487,5,Yes,4,0.185,LOW
32,Research & Development,Laboratory Technician,3730,3,Yes,3,0.185,LOW
58,Research & Development,Research Scientist,2479,1,No,3,0.185,LOW
27,Research & Development,Research Scientist,2566,1,Yes,3,0.18,LOW
50,Sales,Sales Representative,2683,3,Yes,3,0.18,LOW
42,Research & Development,Laboratory Technician,4272,1,No,4,0.18,LOW
36,Research & Development,Manufacturing Director,4663,3,Yes,3,0.18,LOW
30,Research & Development,Research Scientist,2083,1,No,3,0.18,LOW
33,Research & Development,Research Scientist,2686,10,Yes,4,0.18,LOW
32,Research & Development,Research Scientist,3433,5,No,3,0.18,LOW
26,Research & Development,Research Scientist,3102,6,No,1,0.18,LOW
29,Sales,Sales Representative,2642,1,No,3,0.18,LOW
27,Research & Development,Research Scientist,2279,7,No,2,0.175,LOW
22,Research & Development,Research Scientist,2323,2,No,4,0.175,LOW
47,Sales,Sales Representative,2976,0,No,3,0.175,LOW
40,Research & Development,Manufacturing Director,6516,1,Yes,1,0.175,LOW
43,Research & Development,Research Scientist,2438,3,No,3,0.175,LOW
36,Sales,Sales Executive,5507,4,No,2,0.175,LOW
35,Research & Development,Research Scientist,4249,9,Yes,3,0.17,LOW
51,Research & Development,Research Scientist,2461,10,Yes,3,0.17,LOW
21,Research & Development,Research Scientist,2070,2,Yes,2,0.17,LOW
59,Research & Development,Research Scientist,2177,1,No,4,0.17,LOW
50,Sales,Sales Executive,4728,0,Yes,3,0.17,LOW
30,Sales,Sales Representative,2476,1,No,2,0.17,LOW
31,Research & Development,Research Scientist,2501,1,No,2,0.17,LOW
32,Research & Development,Research Scientist,3298,6,Yes,2,0.17,LOW
28,Research & Development,Research Scientist,2377,2,No,3,0.165,LOW
32,Sales,Sales Executive,9610,4,No,3,0.165,LOW
49,Research & Development,Laboratory Technician,2587,2,Yes,1,0.165,LOW
35,Research & Development,Research Scientist,4930,5,Yes,4,0.165,LOW
35,Research & Development,Laboratory Technician,2426,5,No,2,0.165,LOW
32,Sales,Sales Executive,4465,3,No,4,0.165,LOW
31,Sales,Sales Representative,2791,2,No,4,0.165,LOW
34,Sales,Sales Executive,4759,13,No,1,0.165,LOW
45,Research & Development,Research Scientist,2274,1,No,3,0.165,LOW
23,Research & Development,Research Scientist,1223,1,No,3,0.16,LOW
20,Research & Development,Research Scientist,2836,1,No,2,0.16,LOW
51,Research & Development,Laboratory Technician,2838,7,No,3,0.16,LOW
21,Research & Development,Research Scientist,3230,3,No,3,0.16,LOW
36,Sales,Sales Executive,5406,15,No,4,0.155,LOW
23,Research & Development,Laboratory Technician,3295,3,No,2,0.155,LOW
23,Sales,Sales Representative,2322,0,No,1,0.155,LOW
33,Research & Development,Research Scientist,2799,3,Yes,1,0.155,LOW
43,Sales,Sales Executive,7847,10,Yes,4,0.155,LOW
34,Sales,Sales Executive,9713,5,Yes,4,0.155,LOW
36,Research & Development,Laboratory Technician,2810,5,No,2,0.155,LOW
37,Sales,Sales Executive,6694,1,Yes,4,0.155,LOW
28,Research & Development,Research Scientist,3201,5,No,2,0.155,LOW
22,Research & Development,Research Scientist,2328,4,Yes,2,0.155,LOW
32,Research & Development,Research Scientist,3038,5,No,3,0.155,LOW
31,Sales,Sales Executive,5468,12,No,4,0.15,LOW
44,Research & Development,Laboratory Technician,3708,5,No,3,0.15,LOW
26,Research & Development,Laboratory Technician,2544,7,No,4,0.15,LOW
34,Sales,Sales Executive,9888,14,No,4,0.15,LOW
41,Research & Development,Research Scientist,3072,1,No,1,0.15,LOW
38,Research & Development,Laboratory Technician,1702,1,Yes,4,0.15,LOW
56,Research & Development,Research Scientist,4963,5,Yes,2,0.15,LOW
18,Research & Development,Research Scientist,1051,0,No,4,0.15,LOW
29,Human Resources,Human Resources,2804,1,No,2,0.15,LOW
24,Research & Development,Laboratory Technician,2296,1,No,1,0.145,LOW
32,Research & Development,Laboratory Technician,2743,2,No,2,0.145,LOW
35,Research & Development,Laboratory Technician,4425,6,No,2,0.145,LOW
30,Research & Development,Manufacturing Director,9667,7,No,3,0.145,LOW
34,Research & Development,Research Scientist,2972,1,No,4,0.145,LOW
36,Sales,Sales Executive,6134,2,Yes,1,0.145,LOW
35,Human Resources,Human Resources,8837,9,Yes,4,0.145,LOW
30,Human Resources,Human Resources,2064,5,No,3,0.145,LOW
30,Research & Development,Laboratory Technician,2693,1,No,3,0.145,LOW
27,Sales,Sales Representative,2534,1,No,4,0.14,LOW
38,Sales,Sales Executive,7351,1,No,2,0.14,LOW
21,Sales,Sales Representative,2380,2,Yes,1,0.14,LOW
35,Research & Development,Healthcare Representative,6540,1,No,2,0.14,LOW
40,Research & Development,Manufacturing Director,7945,4,Yes,4,0.14,LOW
48,Sales,Sales Representative,2655,9,Yes,3,0.14,LOW
49,Sales,Sales Executive,13120,9,No,2,0.14,LOW
31,Research & Development,Research Director,13675,2,No,3,0.135,LOW
30,Research & Development,Research Scientist,1274,1,No,3,0.135,LOW
21,Research & Development,Research Scientist,1232,0,No,4,0.135,LOW
46,Research & Development,Healthcare Representative,10527,2,No,3,0.135,LOW
56,Sales,Sales Executive,5380,0,No,1,0.135,LOW
29,Research & Development,Research Scientist,2168,5,Yes,4,0.135,LOW
35,Sales,Sales Representative,2404,1,No,3,0.135,LOW
33,Research & Development,Laboratory Technician,2028,14,No,2,0.135,LOW
22,Research & Development,Research Scientist,2814,4,Yes,3,0.135,LOW
37,Research & Development,Research Scientist,4680,1,No,4,0.135,LOW
34,Research & Development,Laboratory Technician,4404,4,No,3,0.135,LOW
36,Sales,Sales Representative,4502,13,No,4,0.13,LOW
35,Sales,Sales Representative,2430,5,No,3,0.13,LOW
41,Research & Development,Laboratory Technician,4721,18,Yes,1,0.13,LOW
43,Research & Development,Laboratory Technician,5257,9,No,3,0.13,LOW
26,Research & Development,Laboratory Technician,2659,3,Yes,4,0.13,LOW
35,Research & Development,Laboratory Technician,3681,3,No,4,0.13,LOW
27,Research & Development,Laboratory Technician,2379,5,Yes,4,0.13,LOW
40,Research & Development,Laboratory Technician,5094,1,No,3,0.13,LOW
44,Research & Development,Laboratory Technician,2362,3,No,1,0.13,LOW
25,Research & Development,Laboratory Technician,3669,3,No,4,0.13,LOW
20,Sales,Sales Representative,2678,2,No,4,0.13,LOW
30,Research & Development,Laboratory Technician,3491,10,No,3,0.13,LOW
20,Research & Development,Laboratory Technician,3033,2,No,3,0.13,LOW
33,Research & Development,Healthcare Representative,6388,0,Yes,3,0.13,LOW
26,Sales,Sales Representative,2966,4,No,3,0.13,LOW
33,Research & Development,Laboratory Technician,2008,1,No,3,0.13,LOW
54,Sales,Sales Executive,10686,9,No,3,0.13,LOW
59,Sales,Sales Executive,5473,4,No,3,0.125,LOW
27,Research & Development,Manufacturing Director,6142,6,Yes,2,0.125,LOW
28,Sales,Sales Representative,2856,1,No,2,0.125,LOW
46,Sales,Manager,16606,13,No,2,0.125,LOW
34,Research & Development,Research Scientist,2585,1,No,3,0.125,LOW
28,Research & Development,Laboratory Technician,2154,4,Yes,3,0.125,LOW
56,Research & Development,Research Scientist,2942,5,No,3,0.125,LOW
39,Sales,Sales Executive,5736,3,No,3,0.125,LOW
26,Sales,Sales Executive,4157,2,Yes,4,0.125,LOW
30,Sales,Sales Executive,4736,2,Yes,3,0.125,LOW
25,Sales,Sales Executive,4256,5,No,1,0.12,LOW
32,Sales,Sales Executive,4648,0,No,4,0.12,LOW
41,Research & Development,Healthcare Representative,6811,8,Yes,3,0.12,LOW
42,Research & Development,Laboratory Technician,2766,5,No,2,0.12,LOW
40,Research & Development,Healthcare Representative,4069,2,Yes,4,0.12,LOW
31,Sales,Sales Executive,6582,6,Yes,4,0.12,LOW
45,Sales,Sales Executive,4850,5,No,3,0.12,LOW
30,Research & Development,Laboratory Technician,3072,12,No,1,0.12,LOW
25,Sales,Sales Executive,4907,5,Yes,3,0.12,LOW
29,Sales,Sales Executive,5869,5,No,3,0.12,LOW
52,Research & Development,Manager,19999,33,No,3,0.12,LOW
56,Research & Development,Research Scientist,2066,3,No,1,0.12,LOW
30,Research & Development,Research Scientist,2141,6,No,2,0.12,LOW
41,Sales,Sales Executive,7082,2,Yes,3,0.12,LOW
32,Research & Development,Research Scientist,2956,1,No,1,0.12,LOW
28,Research & Development,Healthcare Representative,8722,10,No,1,0.115,LOW
35,Sales,Sales Representative,2014,2,No,4,0.115,LOW
34,Research & Development,Research Scientist,2029,5,No,3,0.115,LOW
45,Research & Development,Research Scientist,4477,3,Yes,3,0.115,LOW
59,Sales,Sales Executive,5171,6,No,4,0.115,LOW
20,Sales,Sales Representative,2728,2,No,1,0.115,LOW
37,Research & Development,Research Scientist,2326,4,Yes,4,0.115,LOW
36,Sales,Sales Representative,2644,3,Yes,4,0.115,LOW
35,Research & Development,Research Scientist,2506,2,No,3,0.115,LOW
37,Research & Development,Research Scientist,2782,5,Yes,1,0.115,LOW
25,Research & Development,Laboratory Technician,3977,2,Yes,3,0.115,LOW
60,Sales,Sales Executive,5405,2,No,1,0.115,LOW
38,Research & Development,Healthcare Representative,9824,1,No,3,0.115,LOW
41,Sales,Sales Executive,8392,10,No,1,0.115,LOW
34,Research & Development,Research Scientist,2960,4,No,1,0.11,LOW
35,Research & Development,Laboratory Technician,1951,1,No,4,0.11,LOW
35,Research & Development,Laboratory Technician,2269,1,No,4,0.11,LOW
31,Research & Development,Research Scientist,5003,10,No,1,0.11,LOW
30,Research & Development,Laboratory Technician,4011,12,No,4,0.11,LOW
31,Sales,Manager,11557,5,No,4,0.11,LOW
